预警类型,影响区域,前次预警级别,当前预警级别,时间间隔(天),月份,季节,当前预警时间,前次预警时间,是否工作日,历史平均间隔,过去30天预警次数
森林火险,全市,黄色,黄色,171,10,秋季,2025-10-01 15:30:00,2025-04-13 08:50:00,1,19.5,0
森林火险,全市,黄色,黄色,5,10,秋季,2025-10-07 10:00:00,2025-10-01 15:30:00,1,49.8,1
森林火险,全市,黄色,黄色,9,10,秋季,2025-10-16 10:10:00,2025-10-07 10:00:00,1,42.333333333333336,2
森林火险,全市,黄色,橙色,36,11,秋季,2025-11-21 11:00:00,2025-10-16 10:10:00,1,37.57142857142857,0
森林火险,全市,橙色,红色,5,11,秋季,2025-11-26 11:00:00,2025-11-21 11:00:00,1,37.375,1
森林火险,全市,红色,橙色,22,12,冬季,2025-12-19 09:00:00,2025-11-26 11:00:00,1,33.77777777777778,2
雷电,"全市,珠江口,深圳湾",-,-,51,4,春季,2025-04-25 01:15:00,2025-03-04 13:55:00,1,12.135135135135135,0
雷电,"全市,珠江口,深圳湾",-,-,11,5,春季,2025-05-06 12:30:00,2025-04-25 01:15:00,1,51.0,1
雷电,"全市,珠江口,深圳湾",-,-,4,5,春季,2025-05-10 17:10:00,2025-05-06 12:30:00,0,31.0,2
雷电,"全市,珠江口,深圳湾",-,-,18,5,春季,2025-05-28 19:25:00,2025-05-10 17:10:00,1,22.0,2
雷电,"全市,珠江口,深圳湾",-,-,4,6,夏季,2025-06-03 06:30:00,2025-05-29 11:45:00,1,21.0,4
雷电,"全市,珠江口,深圳湾",-,-,13,6,夏季,2025-06-16 20:05:00,2025-06-03 06:30:00,1,17.6,3
雷电,"全市,珠江口,深圳湾",-,-,3,6,夏季,2025-06-20 12:30:00,2025-06-17 02:25:00,1,16.833333333333332,5
雷电,"全市,珠江口,深圳湾",-,-,1,6,夏季,2025-06-22 11:55:00,2025-06-20 12:30:00,0,14.857142857142858,6
雷电,"全市,珠江口,深圳湾",-,-,3,6,夏季,2025-06-26 07:20:00,2025-06-22 11:55:00,1,13.125,7
雷电,"全市,珠江口,深圳湾",-,-,1,6,夏季,2025-06-30 21:15:00,2025-06-29 08:30:00,1,12.0,11
雷电,"全市,珠江口,深圳湾",-,-,3,7,夏季,2025-07-05 14:25:00,2025-07-02 10:50:00,0,10.9,14
雷电,"全市,珠江口,深圳湾",-,-,2,7,夏季,2025-07-08 10:55:00,2025-07-05 14:25:00,1,10.181818181818182,15
雷电,"全市,珠江口,深圳湾",-,-,2,7,夏季,2025-07-12 04:45:00,2025-07-09 18:01:00,0,9.5,18
雷电,"全市,珠江口,深圳湾",-,-,6,7,夏季,2025-07-18 10:11:00,2025-07-12 04:45:00,1,8.923076923076923,17
雷电,"全市,珠江口,深圳湾",-,-,7,7,夏季,2025-07-25 14:53:00,2025-07-18 10:11:00,1,8.714285714285714,16
雷电,"全市,珠江口,深圳湾",-,-,2,7,夏季,2025-07-28 14:23:00,2025-07-25 14:53:00,1,8.6,12
雷电,"全市,珠江口,深圳湾",-,-,1,7,夏季,2025-07-31 01:24:00,2025-07-29 07:23:00,1,8.1875,12
雷电,"全市,珠江口,深圳湾",-,-,1,8,夏季,2025-08-01 13:18:00,2025-07-31 09:20:00,1,7.764705882352941,11
雷电,"全市,珠江口,深圳湾",-,-,2,8,夏季,2025-08-04 23:50:00,2025-08-02 06:55:00,1,7.388888888888889,12
雷电,"全市,珠江口,深圳湾",-,-,8,8,夏季,2025-08-14 04:50:00,2025-08-05 19:48:00,1,7.105263157894737,10
雷电,"全市,珠江口,深圳湾",-,-,4,8,夏季,2025-08-19 03:45:00,2025-08-14 04:50:00,1,7.15,10
雷电,"全市,珠江口,深圳湾",-,-,8,8,夏季,2025-08-27 12:53:00,2025-08-19 03:45:00,1,7.0,10
雷电,"全市,珠江口,深圳湾",-,-,10,9,秋季,2025-09-07 12:10:00,2025-08-27 12:53:00,0,7.045454545454546,3
雷电,"全市,珠江口,深圳湾",-,-,1,9,秋季,2025-09-09 09:28:00,2025-09-07 12:10:00,1,7.173913043478261,4
雷电,"全市,珠江口,深圳湾",-,-,8,9,秋季,2025-09-17 12:58:00,2025-09-09 09:28:00,1,6.916666666666667,4
雷电,"全市,珠江口,深圳湾",-,-,1,9,秋季,2025-09-18 13:10:00,2025-09-17 12:58:00,1,6.96,4
雷电,"南山区,宝安区,光明区",-,-,19,8,夏季,2025-08-12 05:10:00,2025-07-23 16:21:00,1,12.135135135135135,1
雷电,"南山区,宝安区,光明区",-,-,2,8,夏季,2025-08-14 23:45:00,2025-08-12 05:10:00,1,19.0,2
雷电,"南山区,宝安区,光明区",-,-,11,8,夏季,2025-08-26 16:20:00,2025-08-14 23:45:00,1,10.5,2
雷电,"南山区,福田区,宝安区",-,-,7,5,春季,2025-05-05 18:45:00,2025-04-28 06:08:00,1,12.135135135135135,1
雷电,"南山区,福田区,宝安区",-,-,17,5,春季,2025-05-23 17:45:00,2025-05-05 18:45:00,1,7.0,2
雷电,"南山区,福田区,宝安区",-,-,101,9,秋季,2025-09-02 13:21:00,2025-05-23 17:45:00,1,12.0,0
雷电,"南山区,福田区,宝安区",-,-,1,9,秋季,2025-09-03 14:22:00,2025-09-02 13:21:00,1,41.666666666666664,1
雷电,"罗湖区,南山区,福田区",-,-,16,9,秋季,2025-09-21 05:55:00,2025-09-04 15:30:00,0,12.135135135135135,1
雷电,"罗湖区,南山区,福田区",-,-,22,10,秋季,2025-10-14 04:07:00,2025-09-21 05:55:00,1,16.0,1
雷电,"罗湖区,盐田区,龙岗区",-,-,17,5,春季,2025-05-23 19:00:00,2025-05-05 22:00:00,1,12.135135135135135,1
雷电,"罗湖区,盐田区,龙岗区",-,-,61,7,夏季,2025-07-24 17:00:00,2025-05-23 19:00:00,1,17.0,0
雷雨大风,"全市,珠江口,深圳湾",黄色,黄色,12,4,春季,2025-04-24 17:40:00,2025-04-12 14:35:00,1,21.225806451612904,1
雷雨大风,"全市,珠江口,深圳湾",黄色,黄色,14,5,春季,2025-05-09 08:00:00,2025-04-24 17:40:00,1,12.0,2
雷雨大风,"全市,珠江口,深圳湾",黄色,黄色,35,6,夏季,2025-06-13 08:48:00,2025-05-09 08:00:00,1,13.0,0
雷雨大风,"全市,珠江口,深圳湾",黄色,黄色,46,7,夏季,2025-07-29 11:50:00,2025-06-13 08:48:00,1,20.333333333333332,0
雷雨大风,"全市,珠江口,深圳湾",黄色,黄色,19,8,夏季,2025-08-18 10:47:00,2025-07-29 11:50:00,1,26.75,1
雷雨大风,"全市,珠江口,深圳湾",黄色,黄色,47,10,秋季,2025-10-04 15:05:00,2025-08-18 10:47:00,0,25.2,0
雷雨大风,"南山区,宝安区,光明区",黄色,黄色,5,7,夏季,2025-07-15 14:29:00,2025-07-10 12:50:00,1,21.225806451612904,1
雷雨大风,"南山区,宝安区,光明区",黄色,黄色,21,8,夏季,2025-08-06 10:00:00,2025-07-15 14:29:00,1,5.0,2
雷雨大风,"南山区,福田区,宝安区",橙色,黄色,69,5,春季,2025-05-23 18:10:00,2025-03-15 14:51:00,1,21.225806451612904,0
雷雨大风,"南山区,福田区,宝安区",黄色,黄色,20,6,夏季,2025-06-12 21:00:00,2025-05-23 18:10:00,1,69.0,1
雷雨大风,"南山区,福田区,宝安区",黄色,黄色,36,7,夏季,2025-07-19 19:20:00,2025-06-12 21:00:00,0,44.5,0
雷雨大风,"南山区,福田区,宝安区",黄色,黄色,17,8,夏季,2025-08-05 22:15:00,2025-07-19 19:20:00,1,41.666666666666664,1
雷雨大风,"大鹏新区,大鹏湾,大亚湾",黄色,黄色,7,7,夏季,2025-07-18 03:35:00,2025-07-10 09:31:00,1,21.225806451612904,1
雷雨大风,"大鹏新区,大鹏湾,大亚湾",黄色,黄色,16,8,夏季,2025-08-04 00:20:00,2025-07-18 03:35:00,1,7.0,2
雷雨大风,"大鹏新区,大鹏湾,大亚湾",黄色,黄色,43,9,秋季,2025-09-17 05:06:00,2025-08-04 22:10:00,1,11.5,0
雷雨大风,"珠江口,深圳湾",黄色,黄色,7,8,夏季,2025-08-02 09:00:00,2025-07-25 20:15:00,0,21.225806451612904,1
雷雨大风,"珠江口,深圳湾",黄色,黄色,11,8,夏季,2025-08-14 06:55:00,2025-08-03 04:28:00,1,7.0,3
雷雨大风,"珠江口,深圳湾",黄色,黄色,3,8,夏季,2025-08-17 23:25:00,2025-08-14 06:55:00,0,9.0,4
